Title,Artist,Cleaned_Lyrics
The Boy Is Mine,Ariana Grande,71 contributorstranslationsالعربيةdanskdeutschespañolhebrewitalianoрусскийไทย phasa thaipolskibahasa indonesiaportuguês the boy is mine lyrics how can it be you and me might be meant to be can t unsee it but i don t wanna cause no scene i m usually so unproblematic so independent tell me why cause the boy is mine mine somethin about him is made for somebody like me baby come over come over over and god knows i m tryin but there s just no use in denying the boy is mine i can t wait to try him le let s get intertwined the stars they aligned thе boy is mine watch me take my timе i can t believe my mind the boy is divine boy is mine please know this ain t what i planned for probably wouldn t bet a dime or my life on there s gotta be a reason why my girls they always come through in a sticky situation say it s fine it s fine happens all the time you might also like somethin about him is made for somebody like me baby come over come over over and god knows i m tryin but there s just no use in denying the boy is mine i can t wait to try him le let s get intertwined the stars they aligned the boy is mine watch me take my time i can t believe my mind the boy is divine boy is and i know it s simply meant to be and i i take full accountability for all these tears promise you i m not usually like this shit it s like news to me to me but i can t ignore my heart boy the boy is mine i can t wait to try him oh yeah le let s get intertwined the stars they aligned the boy is mine watch me take my time i can t believe my mind the boy is divine boy is mine8embed
Halfway To Hell,Jelly Roll,9 contributorshalfway to hell lyrics to save you boy he gave his only begotten son yeah i m a county jail revival i m a bottle and a bible i m a rolling stone disciple with a cross across my face i m a trailer park tornado jagged edges on my halo hope the chariot gon swing low and carry me away this little light of mine damn near burned me alive lord knows that mama tried and i don t know if i m halfway to heaven or halfway to hell my angels and demons at war with myself one foot in the fire and i still can t tell am i halfway to heaven halfway to heaven or hell i m a dive bar sunday sеrmon holy water with my bourbon standin on a bridge i m burning with a can of gasoline am i worth savin if i m always fadin it feels likе i m caught in between see jelly roll liveget tickets as low as 50you might also like halfway to heaven or halfway to hell my angels and demons at war with myself one foot in the fire and i still can t tell am i halfway to heaven halfway to heaven or hell this little light of mine damn near burned me alive lord knows that mama tried and i don t know if i m halfway to heaven or halfway to hell my angels and demons at war with myself halfway to heaven or halfway to hell my angels and demons at war with myself one foot in the fire and i still can t tell am i halfway to heaven halfway to heaven or hell halfway to heaven or hell be lost to the fiery lakes of hell because once you believe you have crossed over from death to life so what are you waiting for what will you do we are told simply to repent to be baptizedembed
The Door,Teddy Swims,11 contributorsthe door lyrics i took a page out of your favorite book you sold me lies just by the way you look taught me a language that i ve never speak baby that ain t for me that that ain t for me i dug my grave watchin the way you move you took me higher than i ever flew ooh too many times gave you a second chance baby i m just a man i m i m just a man no more thinkin about you late night no more runnin around with your friends now done pickin up pieces of my soul up off the floor oh oh i said i would die for you baby but i can t take this pain no more i thought i was willin but tonight i saved my life when i showed you the door i don t wanna lose you baby but i can t play this gamе no more i thought it would kill me but tonight i saved my lifе when i showed you the door see teddy swims liveget tickets as low as 73you might also like you never thought this day would ever come but i looked you in the eyes and pulled the rug you tried to take away my sanity baby that ain t for me that that ain t for me oh no more thinkin about you late night no more runnin around with your friends now done pickin up pieces of my soul up out the floor oh oh i said i would die for you baby but i can t take this pain no more i thought i was willin but tonight i saved my life when i showed you the door i don t wanna lose you baby but i can t take this game no more i thought it would kill me but tonight i saved my life when i showed you the door when i showed you the door when i showed you the door but tonight i saved my life i said i would die for you baby but i can t take this pain no more i thought i was willin but tonight i saved my life when i showed you the door i don t wanna lose you baby i don t wanna lose you baby but i can t take this game no more no more i thought it would kill me i thought it would kill me but tonight i saved my life when i showed you the door mm mm mm woah oh ohembed
Texas Hold 'Em,Beyonce,90 contributorstranslationsitalianodeutschрусскийportuguêsbahasa indonesiatürkçepolskiespañolnederlandsnorsk bokmål riksmål texas hold em lyrics this ain t texas woo ain t no hold em hey so lay your cards down down down down so park your lexus woo and throw your keys up hey stick around round round round round stick around and i ll be damned if i can t slow dance with you come pour some sugar on me honey too it s a real life boogie and a real life hoedown don t be a bitch come take it to the floor now woo ha woo there s a tornado there s a tornado in my city in my city hit the basement hit the basement that shit ain t pretty that shit ain t pretty rugged whiskey rugged whiskey cause we survivin cause we survivin off red cup kisses sweet redemption passin time yeah ooh one step to the right we heading to the dive bar we always thought was nice ooh run me to the left then spin me in the middle boy i can t read your mind you might also like this ain t texas woo ain t no hold em hey so lay your cards down down down down so park your lexus woo and throw your keys up hey and stick around round round round round stick around and i ll be damned if i can t slow dance with you come pour some sugar on me honey too it s a real life boogie and a real life hoedown don t be a bitch come take it to the floor now woo and i ll be damned if i cannot dance with you come pour some liquor on me honey too it s a real life boogie and a real life hoedown don t be a bitch come take it to the floor now woo woo hoo woo hoo woo hoo there s a heatwave there s a heatwave comin at us comin at us too hot to think straight too hot to think straight too cold to panic cold to panic all of the problems just feel dramatic just feel dramatic and now we re runnin to the first bar that we find yeah ooh one step to the right we heading to the dive bar we always thought was nice ooh you run to the left just work me in the middle boy i can t read your mind this ain t texas woo ain t no hold em hey so lay your cards down down down down oh so park your lexus hey and throw your keys up hey and stick around round round round round stick around and i ll be damned if i cannot dance with you come pour some sugar on me honey too it s a real life boogie and a real life hoedown don t be a bitch come take it to the floor now woo and i ll be damned if i cannot dance with you come pour some liquor on me honey too it s a real life boogie and a real life hoedown don t be a come take it to the floor now ooh take it to the floor now ooh hoops spurs boots to the floor now ooh tuck back oops ooh ooh ooh shoot come take it to the floor now ooh and i ll be damned if i cannot dance with you baby pour that sugar and liquor on me too furs spurs boots solargenic photogenic shoot18embed
Tore Up,Don Toliver,67 contributorstranslationsportuguêsespañoldon toliver tore up türkçe çeviri tore up lyrics we re not changing now in the club with some ones and i m piped up shawty got me high too high i be steppin on a bitch in some white 1s can t control me i think i m too fly tore up tore up tore up tore up tore up tore up high tore up tore up tore up tore up ah tore up tore up tore up tore up high tore up tore up she back to back oh she in that mode woo i rip her tracks out she gotta go i hop up on my bike it s peace and adiós it s not about where you re at it s where you go we re not changing now if you believe in yourself it will get you through it oh i believed in myself well can you see what i m doin see don toliver liveget tickets as low as 149you might also like in the club with some ones and i m piped up shawty got me high too high i be steppin on a bitch in some white 1s can t control me i think i m too fly tore up tore up tore up tore up tore up tore up high tore up tore up tore up tore up ah tore up tore up tore up tore up high tore up tore up3embed
Belong Together,Mark Ambor,11 contributorstranslationsespañoldeutschnorsk bokmål riksmål belong together lyrics i know sleep is friends with death but maybe i should get some rest cause i ve been out here workin all damn day blueberries and butterflies the pretty things that greet my eyes when you call and i say i m on my way one two you and me belong together like cold iced tea and warmer weather where we lay out late underneath the pines and we still have fun when thе sun won t shine you and me belong togеther all the time mm mm mm oh woah oh spillin wine and homemade drinks we throw a cheers the worries sink damnit it s so good to be alive we know that we don t got much but then again it s just enough to always find a way for a good time you might also like you and me belong together like cold iced tea and warmer weather where we lay out late underneath the pines and we still have fun when the sun won t shine you and me belong together this love is all we need oh we ve got so much you and me oh you and me belong together like cold iced tea and warmer weather where we lay out late underneath the pines and we still have fun when the sun won t shine you and me belong together all the time it goes on and on and on hey it goes on and on and on ha ha ha it goes on and on and on woo embed
Your Place,Ashley Cooke,8 contributors your place lyrics my spare time and my spare key don t go to your front door and i don t keep that old jeep in your driveway anymore and my toothbrush ain t on your bathroom sink haven t been to your side of town in weeks you re the reason this thing broke so you should already know it ain t your place to walk up say hey ask how i ve been at some party it ain t your place to ask my friends when you see em out if i m seein somebody you don t get to call me up cause you re drunk 2 a m say you miss us no you don t get to care where i m wakin up these days it ain t your place don t reach out to my family when the birthdays come around and don t act like you re happy for me when a dream works out if i mеt someone or if i didn t honestly it s nonе of your business anyway cause at the end of the day you might also like it ain t your place to walk up say hey ask how i ve been at some party it ain t your place to ask my friends when you see em out if i m seein somebody you don t get to call me up cause you re drunk 2 a m say you miss us no you don t get to care where i m wakin up these days it ain t your place no it ain t your place no don t say come over don t swear that you re different you made your bed and i ain t sleepin in it it ain t your place to walk up say hey ask how i ve been at some party it ain t your place to ask my friends when you see em out if i m seein somebody you don t get to call me up cause you re drunk 2 a m say you miss us no you don t get to care where i m wakin up these days it ain t your place it ain t your placeembed
After Hours,Kehlani,28 contributorstranslationsespañolafter hours lyrics we don t gotta take it slow i ma hit the gas if you ready to go i wanna feel the sweat breathin through your clothes the way you touch my neck got me ready to fold i wanna make magic magic i want you to feel me feel me i want you to grab it grab it i want you to steal me steal me if you want it you can have it have it i want you to free me free me i m not tryin to lock you down you came in on your own own own own own own caught up in your zone zone zone zone zone zone zone in a room full of strangers different faces yeah it feels like we re alone lone alone lone alone why don t you stay stay here after hours i know you don t wanna leave don t wanna leave stay here after hours after hours we can see kehlani liveget tickets as low as 185you might also like we ain t gotta check the time even when it ends it s still you and i we ain t even know they turned on the lights we missed the last call ridin on a high oh oh oh oh it s more than a moment moment this can t be a memory memory the party is over over you wanna come with me with me my home never closes closes just want you to feel free feel free i m not tryin to lock you down you came in on your own own own own own own caught up in your zone zone zone zone zone zone zone in a room full of strangers different faces yeah it feels like we re alone lone alone lone alone why don t you stay why don t you stay stay here after hours after hours i know you don t wanna leave don t wanna leave stay here after hours after hours after hours we can oh woah woah ooh oh woah woah tell your friends to go oh woah woah you can stay for a little while oh woah woah oh woah woah mmm mmm oh woah woah if you wanna stay oh woah woah you can stay for a little while oh woah woah why don t you stay why don t you stay stay here after hours girl why don t you stay here i know you don t wanna leave you don t wanna leave oh stay here after hours after hours after hours we can oh woah woah oh woah woah tell your friends to go oh woah woah you can stay for a little while oh woah woah ah oh woah woah oh woah woah you ain t gotta go oh woah woah you can stay for a little while oh woah woah2embed
360,Charli XCX,82 contributorstranslationspolskiespañolitalianoбеларускаяportuguêsрусскийtürkçe한국어français360 lyrics i went my own way and i made it i m your favorite reference baby call me gabbriette you re so inspired ah ah i m tectonic moves i make em shock you like defibrillators no style i can t relate i ll always be the one ah drop down yeah put the camera flash on so stylish baby tee is all gone drop down yeah lookin like an icon work angles yeah yeah 360 when you re in the mirror do you like what you see when you re in the mirror you re just looking at me i m everywhere i m so julia ah ah ah when you re in the party b b bumpin that beat 666 with a princess streak i m everywhere i m so julia ah ah ah see charli xcx liveget tickets as low as 56you might also like bumpin that bumpin that bumpin that that city sewer slut s the vibe internationally recognized i set the tone it s my design and it s stuck in your mind legacy is undebated you gon jump if a g made it if you love it if you hate it i don t fucking care what you think drop down yeah put the camera flash on so stylish baby tee is all gone drop down yeah lookin like an icon work angles yeah yeah 360 when you re in the mirror do you like what you see when you re in the mirror you re just looking at me i m everywhere i m so julia ah ah ah when you re in the party b b bumpin that beat 666 with a princess streak i m everywhere i m so julia ah ah ah bumpin that bumpin that bumpin that ah ah ah bumpin that bumpin that bumpin that ah ah ah5embed
Who's Afraid Of Little Old Me?,Taylor Swift,149 contributorstranslationstürkçeportuguêsespañolالعربيةفارسیсрпскиfrançaisitalianoslovenščinaукраїнськаnorsk bokmål riksmål deutschwho s afraid of little old me lyrics the who s who of who s that is poised for the attack but my bare hands paved their paths you don t get to tell me about sad if you wanted me dead you should ve just said nothing makes me feel more alive so i leap from the gallows and i levitate down your street crash the party like a record scratch as i scream who s afraid of little old me you should be the scandal was contained the bullet had just grazed at all costs keep your good name you don t get to tell me you feel bad is it a wonder i broke let s hear one morе joke then we could all just laugh until i cry so i lеap from the gallows and i levitate down your street crash the party like a record scratch as i scream who s afraid of little old me i was tame i was gentle til the circus life made me mean don t you worry folks we took out all her teeth who s afraid of little old me well you should be see taylor swift liveget tickets as low as 232you might also like you should be you should be you should be you should be you should be you should be you should be you should be you should be so tell me everything is not about me but what if it is then say they didn t do it to hurt me but what if they did i wanna snarl and show you just how disturbed this has made me you wouldn t last an hour in the asylum where they raised me so all you kids can sneak into my house with all the cobwebs i m always drunk on my own tears isn t that what they all said that i ll sue you if you step on my lawn that i m fearsome and i m wretched and i m wrong put narcotics into all of my songs and that s why you re still singin along so i leap from the gallows and i levitate down your street crash the party like a record scratch as i scream who s afraid of little old me i was tame i was gentle til the circus life made me mean don t you worry folks we took out all her teeth who s afraid of little old me well you should be you should be you should be you should be you should be cause you lured me you should be and you hurt me you should be and you taught me you caged me and then you called me crazy i am what i am cause you trained me so who s afraid of me who s afraid of little old me who s afraid of little old me 10embed
Blue,Billie Eilish,110 contributorstranslationsportuguêsespañolitalianotürkçedeutschpolskihebrewελληνικάbahasa indonesiaالعربيةfrançaisfrançaisрусскийукраїнськаnorsk bokmål riksmål 한국어blue lyrics mm mm mm i try to live in black and white but i m so blue i d like to mean it when i say i m over you but that s still not true blue and i m still so blue oh i thought we were the same birds of a feather now i m ashamed i told you a lie désolée mon amour i m tryin my best don t know what s in store open up the door blue in the back of my mind i m still overseas a bird in a cage thought you were made for me i try i m not what to live in black and white but i m so blue but i m not what you need i d like not what you need to mean it when i say i m over you but that s still not true true and i m still so bluе and it s not true i m true blue truе blue i m true blue see billie eilish liveget tickets as low as 95you might also like blue mm mm mm ah ah ah ah ah ah ah ah you were born bluer than a butterfly beautiful and so deprived of oxygen colder than your father s eyes he never learned to sympathize with anyone i don t blame you but i can t change you don t hate you don t hate you but we can t save you but we can t save you you were born reachin for your mother s hands victim of your father s plans to rule the world too afraid to step outside paranoid and petrified of what you ve heard but they could say the same bout me i sleep bout three hours each night means only twenty one a week now now and i could say the same bout you born blameless grew up famous too just a baby born blue now now i don t blame you but i can t change you don t hate you but we can t save you same bout me i sleep bout three hours each night means only twenty one a week now same bout me i sleep bout three hours each night means only twenty one a week now same bout me i sleep bout three hours each night means only twenty one a week now same bout me i sleep bout three hours each night means only twenty one a week now ooh ooh it s over now it s over now it s over now ah ah ah ah but when can i hear the next one 11embed
Beautiful As You,Thomas Rhett,8 contributorsbeautiful as you lyrics baby girl you out your mind you re way too good for me thinkin bout the day we met you coulda just ignored me here i am layin next to you lookin extra cute in the mornin lookin back all through the past everything before you was borin you re the type people wishin they d sit next to on a flight top of list who i wanna wash up on a island with you re the dream even if we countin girls in magazines it s still a mystery what s someone as beautiful as you doin ridin round with someone like me i swear girl you could have anyonе you choose i should stop askin questions fore you gеt up and leave what s someone as beautiful as you doin wakin up with someone like me ain t gonna lie you could have anyone you choose i should stop askin questions fore you get up and leave how someone as beautiful as you could just fall out of the blue when you re walkin round in my sweater girl there s no better view spend the rest of forever just treasurin you ooh i ll follow you wherever and you know that s the truth yeah see thomas rhett liveget tickets as low as 70you might also like you re the type people wishin they d sit next to on a flight top of list who i wanna spend like every second with you re the dream even if we countin girls up on the screen still a mystery what s someone as beautiful as you doin ridin round with someone like me i swear girl you could have anyone you choose i should stop askin questions fore you get up and leave what s someone as beautiful as you doin wakin up with someone like me ain t gonna lie you could have anyone you choose i should stop askin questions fore you get up and leave i just had to let you know know yeah yeah know know yeah yeah i could never let you go go yeah yeah go go yeah yeah oh i just had to let you know know yeah yeah know know yeah yeah i could never let you go go yeah yeah go go yeah yeah what s someone as beautiful as you doin wakin up with someone like me i swear girl you could have anyone you choose i should stop askin questions fore you get up and leaveembed
Burgundy,$uicideboy$,59 contributorstranslationsрусскийburgundy lyrics y y y y y y y y y y y y you did good lick la la la la it s a smash la la la la la la la la la la la la la la la la la la la la la la ha hahaha ha hahaha ha hahaha ha let s go let s go let s go i was running up the dope before the dough north you can check the records ever since i got conscious dying was obvious counting down the seconds i was left with no options snorting oxys off a smith wesson body filled with narcotics fuck the optics bitch next question get the fuck outta here smokin like i been stressing smoke hoes tryna read me leave em dyslexic ho get this weight off my chest like i m bench pressing ho i m big stepping wetto jordan clarkson with the narcan i shoot for thirty and that s with my off hand walk in they like who let the dogs in kill myself before i let an opp win bitches begging me to get toxic okay let me go and pour a cup mom and dad would if they could i ain t even mad they ain t showing up thinking bout it got me choking up if i love her time to blow it up pop on some percs til i m throwin up then refresh on x like i m scrolling up yeah i got some wounds that ain t closing up let s get it cuts on my body no toning up let s get it ghost that there ain t no disposing of let s go let s go ayy ayy emotionless but the dose is up let s get it fuck affection i don t cozy up you in my house and that s close enough i got problems with trust i got problems with lust bitch that s powder not dust whole gang brain fucked g 59 we the cult they ain t nothing like us grey they say huh i say what i drink tuss they drink nut they all pussies get touched turn an opp to a slut turn his block to a blunt watch my dog he got flushed looking at his first dead body life too painful and the game will change you have you saying fuck everybody i don t give a fuck what they hear about me got a couple killers including dre around me better think twice fore you play around me got more guns on me than a red county see uicideboy liveget tickets as low as 58you might also like copped the porsche 911 now i m gettin randomly selected what the fuck search for drugs and bombs and weapons wait a second huh no need for aggression nope just a common misconception bettin that they ll threaten my profession prolly their perception of who i am won t make me question who i am damn rose gold and morganite lookin like a suicidal gesture knocked her ex boyfriend the fuck out just so i could impress her fuck him just so i could undress her yeah now i m paying for the fall semester god damn i told her to call me professor after winter break i ma hand her off to my successor strive for the greater and never the lesser me and crim made it without an investor yeah we survived suicidal adventures made a pact that we would never surrender huh never surrender say it again made a pact that we would never surrender selling my soul to my dreams and my goals but i won t ever stop until i m on the stretcher there s a demon in me and i think it might ve overstayed its welcome uhh there s a demon in me and it s helping me to reach a state of bedlam uh oh snorting these pills like i m trying to smell them i m declarin war on my cerebellum ayy my worst enemy is the version of me that i can t even fucking remember ayy ayy ayy uh yeah ruby been destined for the looney bin round my finger the uzi spins while i m chugging some bougie gin lose or win i m never slowing down like we losin wind i m grooming them for death cause my lifestyle will have you choosin limbs the moon is dim tonight i ll have to remain locked up in my tomb again took too many xans i started asking who is crim the knot is loose again someone tied the noose too thin living life like pulling teeth i ll die with a toothless grin oh you better run boy get those fucking legs going oh you better run boy get those fucking legs going oh you better run boy get those fucking legs going oh you better run boy get those fucking legs going la la la la la la la la la la la la la la la la la la la la la la la la la la1embed
Hell N Back,Bakar Featuring Summer Walker,2 contributorstranslationsenglishbakar hell n back ft summer walker remix lyrics konntest du sehen wo mein kopf war als du mich gefunden hast ich und du sind in die hölle und zurück gegangen nur um frieden zu finden mann ich dachte ich hatte alles ich war einsam jetzt bist du mein alles jetzt liegt es an mir ich hab viel liebe mit vielen drogen vermischt dann fand ich dich sie hat kleine verbrechen gemocht sie hatte grüne augen wie mountain dew und wohin sie geht werde ich nie wissen ihre freunde sind auch abgehauen ich schätze es ist ihr verlust denn sie werden nie wissen was wir erreichen werden und wärst du mein licht mein gelb p y t zu fuß durch portobello zauberst am ende des tages ein lächeln auf dieses gesicht mdma hat uns geholfen wegzufliegen wer hätte gewusst dass du mein leben retten würdest wer hätte gedacht dass du meinen drachen steigen lassen würdest konntest du sehen konntest du sehen konntest du sehen konntest du sehen wo mein kopf war als du mich gefunden hast ich und du sind in die hölle und zurück gegangen nur um frieden zu finden mann ich dachte ich hatte alles ich war einsam jetzt bist du mein alles jetzt liegt es an mir you might also like ich konnte sehen wo dein kopf war als ich dich gefunden hab als ich dich gefunden hab du weißt ich habe dinge repariert die kaputt sind bis ich daran gebunden war dran gebunden täuschst dein lächeln mir gegenüber vor mir wusstest du nicht wie oh aber ich bin jetzt hier baby weiß dass das leben in letzter zeit klagend war also rette ich dich wenn du mich rettest ich war über die liebe hinweg dachte ich hätte genug dann hab ich dich gefunden oh ich war ohne zweifel gestresst ohne dich alles was wir haben sind wir wenn es niemand tut habe ich dich für deinen verstand und meine mentalität konntest du sehen wo mein kopf war als du mich gefunden hast ich und du sind in die hölle und zurück gegangen nur um frieden zu finden mann ich dachte ich hatte alles ich war einsam du warst einsam jetzt bist du mein alles jetzt liegt es an mir hoffnungslos oh ich du yeah eah eah eah eah hey hey ja ja ja yeah eah eah eah eah hey hey alles hoffnungslos oh ich du yeah eah eah eah eah hey hey ja ja ja ja yeah eah eah eah eah hey hey oh ja ja embed
Guilty As Sin?,Taylor Swift,179 contributorstranslationstürkçeportuguêsespañolالعربيةفارسیсрпскиfrançaisitalianoукраїнськаslovenščinanorsk bokmål riksmål deutschpolskiguilty as sin lyrics drownin in the blue nile he sent me downtown lights i hadn t heard it in a while my boredom s bone deep this cage was once just fine am i allowed to cry i dream of crackin locks throwin my life to the wolves or the ocean rocks crashin into him tonight he s a paradox i m seeing visions am i bad or mad or wise what if he s written mine on my upper thigh only in my mind one slip and fallin back into the hedge maze oh what a way to die i keep recalling things we never did messy top lip kiss how i long for our trysts without ever touchin his skin how can i be guilty as sin i keep these longings lockеd in lowercase inside a vault somеone told me there s no such thing as bad thoughts only your actions talk these fatal fantasies giving way to labored breath takin all of me we ve already done it in my head if it s make believe why does it feel like a vow we ll both uphold somehow see taylor swift liveget tickets as low as 232you might also like what if he s written mine on my upper thigh only in my mind one slip and fallin back into the hedge maze oh what a way to die my bed sheets are ablaze i ve screamed his name buildin up like waves crashin over my grave without ever touchin his skin how can i be guilty as sin what if i roll the stone away they re gonna crucify me anyway what if the way you hold me is actually what s holy if long suffering propriety is what they want from me they don t know how you ve haunted me so stunningly i choose you and me religiously what if he s written mine on my upper thigh only in my mind one slip and fallin back into the hedge maze oh what a way to die i keep recalling things we never did messy top lip kiss how i long for our trysts without ever touchin his skin how can i be guilty as sin he sent me downtown lights i hadn t heard it in a while am i allowed to cry 5embed
Enough (Miami),Cardi B,55 contributorstranslationsdeutschespañolenough miami lyrics yeah yeah okay okay okay okay mano yeah yeah yeah look og parker me verse you and you know who they pickin cheap and expensive you knowin the difference you know that it s hittin you know what it s givin hair nails polar bear i can survive in the coldest conditions hoes better lower they tone when they spittin bitches is washed soap on the dishes i apply pressure like boa constrictors one bitch two bitch old bitch new bitch none of y all bitches not gon do shit i m in miami i pull up on cruise ship you in miami four hoеs to a room shit ah when i step it s stampedе foot on neck can t breathe lucky charm van cleef diamonds on the dance team see cardi b liveget tickets as low as 33you might also like i see my opps linkin up i m like what in the fuck if you scared then just say that ho enough is enough they was just in my dms ain t no trustin these sluts i m about to call up diamond bitch knuck if you opps linkin up i m like what in the fuck if you scared then just say that ho enough is enough they was just in my dms ain t no trustin these sluts i m about to call up diamond bitch knuck if you buck i m like ooh child cool down too hot too wild mugler new style mmm how you fuckin with me girl give me one shot and i m raising the glass give me two shots and i m shaking this ass give me three shots and i m ready to fuck five four shots i be ready to splash god gave it to me so i gotta pop it i m standing on business i m really about it bitches be talkin mouth be bigger than they pockets girl tell me about it i m litty i m pretty i m runnin the city i m shittin on bitches in every department this ass heavy and thick like peanut butter and bitches jelly about it did a lot of winnin lot of scorin yeah cardi bryant cardi jordan yeah these bitches sore losers what and they can t do it it s not important look ayy i m gettin better and better er i do not see no competitors you know it you know the gang hit that pussy said it was regular degular can t see me in fightin can t see me in fashion can t see me with money these bitches is buggin either these bitches is blind or i m invisible bitches can t see me in nothing mmm when i hop out it s stampede foot on neck can t breathe lucky charm van cleef diamonds on the dance team i see my opps linkin up i m like what in the fuck if you scared then just say that ho enough is enough they was just in my dms ain t no trustin these sluts i m about to call up diamond bitch knuck if you opps linkin up i m like what in the fuck if you scared then just say that ho enough is enough they was just in my dms ain t no trustin these sluts i m about to call up diamond bitch knuck if you buck1embed
Pink Pony Club,Chappell Roan,38 contributorstranslationsespañoldeutschpink pony club lyrics i know you wanted me to stay but i can t ignore the crazy visions of me in la and i heard that there s a special place where boys and girls can all be queens every single day i m having wicked dreams of leaving tennessee hear santa monica i swear it s calling me won t make my mama proud it s gonna cause a scene she sees her baby girl i know she s gonna scream god what have you done you re a pink pony girl and you dance at the club oh mama i m just having fun on the stage in my heels it s where i belong down at the pink pony club i m gonna keep on dancing at the pink pony club i m gonna keep on dancing down in west hollywood i m gonna keep on dancing at the pink pony club pink pony club see chappell roan liveget tickets as low as 352you might also like i m up and jaws are on the floor lovers in the bathroom and a line outside the door black lights and a mirrored disco ball every night s another reason why i left it all i thank my wicked dreams a year from tennessee oh santa monica you ve been too good to me won t make my mama proud it s gonna cause a scene she sees her baby girl i know she s gonna scream god what have you done you re a pink pony girl and you dance at the club oh mama i m just having fun on the stage in my heels it s where i belong down at the pink pony club i m gonna keep on dancing at the pink pony club i m gonna keep on dancing down in west hollywood i m gonna keep on dancing at the pink pony club pink pony club don t think i ve left you all behind still love you and tennessee you re always on my mind and mama every saturday i can hear your southern drawl a thousand miles away saying god what have you done you re a pink pony girl and you dance at the club oh mama i m just having fun on the stage in my heels it s where i belong down at the pink pony club i m gonna keep on dancing at the pink pony club i m gonna keep on dancing down in west hollywood i m gonna keep on dancing at the pink pony club pink pony club i m gonna keep on dancing i m gonna keep on dancing4embed
Thorns,$uicideboy$,47 contributorstranslationsрусскийthorns lyrics you did good lick it s a smash lickin up some busta s shit kick back in a chronic zone chicken fuckin with my mind lickin up some busta s shit lickin up some busta s shit kick back in a chronic zone chicken fuckin with my mind lickin up some busta s shit now tell y all how to do a crime kick back in a chronic zone chicken fuckin with my mind lickin up some busta s shit lickin up some busta s shit kick back in a chronic zone chicken fuckin with my mind lickin up some busta s shit now tell y all how to do a crime ayy yuh it s us god damn it i m on another planet uh why they call me oddy nuff you ll never understand it yeah keep a strap on me just in case i m ever stranded pew pew pew pew ready to up the fire now you lookin like a busted pomegranatе uh hop in the mercedеs spaceship don t panic ah crash land in louisiana like i fuckin planned it planned it it s strictly no photos especially if they candid ah she call me daddy cause her pussy mine and i demand it yuh branded and so are all my g59 bandits grey hate on suicide but we all know that you stan it hahaha the way i played the hand that i was dealt you d think i m gambit ah holdin up the five nine skull like i m hamlet see uicideboy liveget tickets as low as 58you might also like kick back in a chronic zone chicken fuckin with my mind lickin up some busta s shit lickin up some busta s shit kick back in a chronic zone chicken fuckin with my mind lickin up some busta s shit now tell y all how to do a crime i m on my pimp shit oh ayy yeah oh yeah oh i m in new orleans off them percocets like i m sean payton who that bitches hit my line i said not today satan not today fine dining in a pair of crocs gripping kimber glocks watching money turnin fam to opps what a paradox go go go never could take none of them serious north they just made me curious north of how they so pussy but don t ever have a period that s true north stars up where the ceilin is north donald trump interior north heroin came from syria chill kay i m finished psych invade a bitches throat then evade the conversation skrrt checkin expiration dates my only moderation went from broke in a shed to a billion valuation grey grey grey still that skinny pimpin drug takin caucasian what lick lick lick lickin up some busta s shit lick lick lick lickin up some busta s shit3embed
Ice Age,Don Toliver Featuring Travis Scott,56 contributorsice age lyrics mm mm yeah yeah mm yeah yeah yeah still put my address in like i don t know where i stay she know my phone number by heart she think i m mike jones why i had to put it down in the ice age where i m from you come through late you don t do that alone you brought that face out the boondocks how long did that take with your dog she can t go left be with em right or wrong everybody round me top five come to my space space everybody high like sci fi up in my space space when we disconnect the wi fi ah up the hill it s over drastic i hope you gassed it i m over gassed you crashed it the last one elastic tried to find real in plastic them other hoes is mass thick way you rock the classics classic bomb bombastic bomb the setup for the dynasty is looking dynastic you know the don nasty the mudboys nasty you know the jack nasty you know the know the you know that fay nasty you know the chase know the chase you know the chase nasty you know my place place my place is like the afties that s word to niel word to niel i m a knight off in the night ain t got it new nah one night with me was the tea but don t you spill ah throw that body fake baby keep it real if he hit don t give him none like the church and come to my player s club i m dolla yeah yeah see don toliver liveget tickets as low as 149you might also like still put my address in like i don t know where i stay she know my phone number by heart she think i m mike jones why i had to put it down in the ice age where i m from you come through late you don t do that alone you brought that face out the boondocks how long did that take with your dog she can t go left be with em right or wrong everybody round me top five come to my space space everybody high like sci fi up in my space space when we disconnect the wi fi in the 713 i m fazed i say can i get you out for a day can i get you out in the city my girl in here baby girl in here we throwin it good okay keep throwin the air throwin the air throwin it back okay you re doin your best swing to the hook when you need some help handle bars she on my handle bars she like the finer things and all my candy cars throwin it back okay you re doin your best doin your swing to the hook when you need some help need some i m in the continental got her dancin sippin pineapple bitch candy yup quarter million dollars got em fancy yeah two hundred on the dash don t chance it gotta leave the song on it s your song babe h town hold it down yeah you goin crazy see you in the bay bae you know you in here faded know you in here faded know you in here faded2embed
